accession	species
AM901530	Lactobacillus nantensis
AM901532	Lactobacillus nantensis
AM901537	Lactobacillus nantensis
AM901540	Lactobacillus nantensis
AP018549	Lactobacillus paragasseri
AUEH01000020	Schleiferilactobacillus harbinensis
AYGX02000070	Lactiplantibacillus fabifermentans
AYYK01000002	Lapidilactobacillus dextrinicus
AYYQ01000031	Apilactobacillus ozensis
AYYZ01000029	Ligilactobacillus araffinosus
AYZA01000019	Ligilactobacillus aviarius
AYZG01000019	Lactobacillus taiwanensis
AYZJ01000022	Lacticaseibacillus camelliae
AYZL01000020	Holzapfeliella floricola
AYZM01000091	Secundilactobacillus similis
AYZQ01000001	Lacticaseibacillus brantae
AZDN01000002	Latilactobacillus sakei
AZDP01000053	Levilactobacillus koreensis
AZDU01000016	Lactobacillus equicursoris
AZDX01000015	Liquorilactobacillus hordei
AZDZ01000009	Companilactobacillus nodensis
AZEA01000001	Lentilactobacillus sunkii
AZEF01000027	Liquorilactobacillus capillatus
AZEH01000039	Liquorilactobacillus oeni
AZEM01000039	Lactobacillus kefiranofaciens
AZFG01000009	Latilactobacillus sakei
AZFL01000132	Lactobacillus delbrueckii
AZFT01000053	Ligilactobacillus apodemi
AZGA01000011	Agrilactobacillus composti
AZGB01000005	Liquorilactobacillus ghanensis
AZGH01000001	Lacticaseibacillus paracasei
BBAK01000001	Fructilactobacillus florum
BBAT01000001	Lentilactobacillus otakiensis
BBAY01000029	Paucilactobacillus hokkaidonensis
BBBX01000023	Lacticaseibacillus saniviri
BBFJ01000002	Secundilactobacillus odoratitofui
BCMF01000002	Secundilactobacillus mixtipabuli
BCMI01000008	Secundilactobacillus pentosiphilus
BCMJ01000003	Secundilactobacillus silagincola
BCVJ01000037	Ligilactobacillus murinus
BFBY01000002	Lactobacillus rodentium
BIFW01000001	Companilactobacillus musae
BJDU01000003	Companilactobacillus formosensis
BJDY01000002	Lactiplantibacillus mudanjiangensis
BJDZ01000009	Lactiplantibacillus plajomi
BJEA01000003	Lactiplantibacillus modestisalitolerans
BJEB01000067	Paucilactobacillus nenjiangensis
CAKC01000001	Lactobacillus gigeriorum
CAKE01000010	Lactobacillus hominis
CP003329	Bacillus subtilis
CP017697	Lactobacillus coryniformis
CP017713	Loigolactobacillus coryniformis
CP018217	Lactobacillus delbrueckii
CP018615	Lactobacillus delbrueckii
CP019323	Companilactobacillus allii
CP019981	Pediococcus inopinatus
CP031513	Bombilactobacillus bombi
CP032751	Lactiplantibacillus argentoratensis
CR954253	Lactobacillus delbrueckii
FJ904276	Lactobacillus kimchicus
FM202093	Oenococcus oeni
FM202120	Weissella viridescens
FMXC01000016	Lactobacillus kefiranofaciens
FN185733	Lactobacillus paucivorans
GG693223	Lactobacillus salivarius
GL872382	Lactobacillus delbrueckii
HE798568	Lactobacillus thailandensis
HE962540	Pediococcus lolii
HE962541	Pediococcus lolii
HQ540078	Lactobacillus futsaii
HQ540079	Lactobacillus futsaii
HQ540080	Lactobacillus futsaii
JF411971	Lactobacillus heilongjiangensis
JN226442	Lactococcus lactis
JQAT01000001	Lactobacillus selangorensis
JQBR01000001	Pediococcus cellicola
JQBW01000006	Limosilactobacillus secaliphilus
JQBX01000004	Pediococcus stilesii
JQCB01000011	Furfurilactobacillus siliginis
JQCF01000007	Companilactobacillus kimchiensis
JQCL01000080	Lactiplantibacillus xiangfangensis
KE383993	Lactobacillus ceti
KI271586	Lactobacillus shenzhenensis
KJ784397	Fructilactobacillus vespulae
KP677484	Companilactobacillus ginsenosidimutans
KT343150	Limosilactobacillus caviae
KY670837	Pediococcus ethanolidurans
KY681775	Pediococcus ethanolidurans
LC127509	Lactobacillus salitolerans
LC171388	Lactobacillus curtus
